STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/24/12,0.25
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/28/12,0.14
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,7/29/12,1.16
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/2/12,0.23
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/6/12,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/7/12,0.41
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/8/12,0.08
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/9/12,0.45
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/11/12,0.84
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/12/12,0.34
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/16/12,2.2
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/18/12,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/20/12,1.46
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/23/12,0.17
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/25/12,0.75
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,8/28/12,0.05
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/3/12,1.09
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/7/12,0.88
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/9/12,0.94
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/17/12,0.3
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/18/12,0.04
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/19/12,1.36
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/29/12,0.28
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,9/30/12,0.69
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/1/12,0.02
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/2/12,0.21
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/8/12,0.33
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/9/12,0.52
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/16/12,0.5
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/19/12,0.11
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/28/12,0
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/29/12,0.4
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,10/30/12,0.41
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/14/12,0.24
US1NCWK0118,"RALEIGH 3.7 NNW, NC US",35.8708,-78.6855,118.3,11/16/12,0.42
